City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,mhlambanyatsi,-26.45,31.0167,13.51,94,8,1.33,SZ,1680989636
356,krynychky,48.3755,34.467,10.05,86,70,3.89,UA,1680989395
357,santa catarina de tepehuanes,25.35,-105.7333,26.5,5,0,7.02,MX,1680989636
358,vestmannaeyjar,63.4427,-20.2734,7.74,86,51,12.78,IS,1680989636
359,upernavik,72.7868,-56.1549,-22.76,93,91,6.56,GL,1680989636
360,gatton,-27.55,152.2833,18.01,52,0,5.65,AU,1680989636
361,changji,44.0167,87.3167,9.44,43,0,2.0,CN,1680989636
362,alta floresta,-9.8756,-56.0861,23.0,95,96,1.49,BR,1680989637
363,searcy,35.2506,-91.7363,20.76,47,20,5.14,US,1680989637
364,mitchell,43.7094,-98.0298,24.99,14,0,8.23,US,1680989637
365,emilio carranza,19.9711,-96.6114,21.77,85,97,5.38,MX,1680989637
366,calvinia,-31.4707,19.776,10.13,75,55,1.98,ZA,1680989637
